Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
8:25 am – 11:40 pm +1,"Alaska Airlines, Korean Air",SAN‐SIN,24h15m,2,"SFO, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1334,20220404-2332,cheap
6:25 am – 11:40 pm +1,"Alaska Airlines, Korean Air",SAN‐SIN,26h15m,2,"SFO, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1334,20220404-2332,cheap
6:15 am – 11:40 pm +1,Korean Air,SAN‐SIN,26h25m,2,"LAX, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1335,20220404-2332,cheap
6:15 am – 11:40 pm +1,"Delta, Korean Air",SAN‐SIN,26h25m,2,"LAX, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1382,20220404-2332,cheap
6:15 am – 11:40 pm +1,Korean Air,SAN‐SIN,26h25m,2,"LAX, ICN",1:10 pm – 11:49 pm,"EVA Air, Alaska Airlines",SIN‐SAN,25h39m,2,"TPE, SFO",1429,20220404-2332,cheap
8:00 am – 12:00 pm +2,"United Airlines, EVA Air",SAN‐SIN,37h00m,2,"SFO, TPE",8:45 am – 12:23 pm,United Airlines,SIN‐SAN,18h38m,1,SFO,1443,20220404-2332,cheap
6:15 am – 12:00 pm +2,"United Airlines, EVA Air",SAN‐SIN,38h45m,2,"SFO, TPE",8:45 am – 12:23 pm,United Airlines,SIN‐SAN,18h38m,1,SFO,1443,20220404-2332,cheap
8:00 am – 1:50 pm +2,"United Airlines, EVA Air",SAN‐SIN,38h50m,2,"SFO, TPE",8:45 am – 12:23 pm,United Airlines,SIN‐SAN,18h38m,1,SFO,1443,20220404-2332,cheap
8:00 am – 12:00 pm +2,"United Airlines, EVA Air",SAN‐SIN,37h00m,2,"SFO, TPE",8:45 am – 2:35 pm,United Airlines,SIN‐SAN,20h50m,1,SFO,1443,20220404-2332,cheap
6:15 am – 1:50 pm +2,"United Airlines, EVA Air",SAN‐SIN,40h35m,2,"SFO, TPE",8:45 am – 12:23 pm,United Airlines,SIN‐SAN,18h38m,1,SFO,1443,20220404-2332,cheap
6:15 am – 12:00 pm +2,"United Airlines, EVA Air",SAN‐SIN,38h45m,2,"SFO, TPE",8:45 am – 2:35 pm,United Airlines,SIN‐SAN,20h50m,1,SFO,1443,20220404-2332,cheap
8:00 am – 1:50 pm +2,"United Airlines, EVA Air",SAN‐SIN,38h50m,2,"SFO, TPE",8:45 am – 2:35 pm,United Airlines,SIN‐SAN,20h50m,1,SFO,1443,20220404-2332,cheap
6:15 am – 11:40 pm +1,Delta,SAN‐SIN,26h25m,2,"LAX, ICN",1:10 am – 2:35 pm,Delta,SIN‐SAN,28h25m,2,"ICN, LAX",1446,20220404-2332,cheap
6:15 am – 11:40 pm +1,Delta,SAN‐SIN,26h25m,2,"LAX, ICN",1:10 am – 11:42 pm,Delta,SIN‐SAN,37h32m,2,"ICN, LAX",1446,20220404-2332,cheap
6:15 am – 11:40 pm +1,Delta,SAN‐SIN,26h25m,2,"LAX, ICN",1:10 am – 11:42 pm,Delta,SIN‐SAN,37h32m,2,"ICN, LAX",1451,20220404-2332,cheap
