Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
8:00 am – 12:35 am +2,Air Canada,SAN‐SIN,25h35m,2,"YVR, NRT",6:10 am – 6:37 pm,Air Canada,SIN‐SAN,27h27m,2,"NRT, YVR",1129,20220404-2012,cheap
8:00 am – 1:15 am +2,"Air Canada, Singapore Airlines",SAN‐SIN,26h15m,2,"YVR, NRT",6:10 am – 6:37 pm,Air Canada,SIN‐SAN,27h27m,2,"NRT, YVR",1170,20220404-2012,cheap
8:00 am – 12:35 am +2,United Airlines,SAN‐SIN,25h35m,2,"SFO, NRT",8:45 am – 2:35 pm,United Airlines,SIN‐SAN,20h50m,1,SFO,1171,20220404-2012,cheap
6:05 am – 12:35 am +2,United Airlines,SAN‐SIN,27h30m,2,"SFO, NRT",8:45 am – 2:35 pm,United Airlines,SIN‐SAN,20h50m,1,SFO,1171,20220404-2012,cheap
8:00 am – 12:35 am +2,United Airlines,SAN‐SIN,25h35m,2,"SFO, NRT",8:45 am – 8:24 pm,United Airlines,SIN‐SAN,26h39m,1,SFO,1171,20220404-2012,cheap
6:05 am – 12:35 am +2,United Airlines,SAN‐SIN,27h30m,2,"SFO, NRT",8:45 am – 8:24 pm,United Airlines,SIN‐SAN,26h39m,1,SFO,1171,20220404-2012,cheap
6:15 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h20m,2,"LAX, NRT",8:45 am – 2:35 pm,United Airlines,SIN‐SAN,20h50m,1,SFO,1176,20220404-2012,cheap
8:00 am – 12:35 am +2,United Airlines,SAN‐SIN,25h35m,2,"SFO, NRT",8:45 am – 7:55 pm,United Airlines,SIN‐SAN,26h10m,2,"SFO, LAX",1176,20220404-2012,cheap
8:00 am – 12:35 am +2,United Airlines,SAN‐SIN,25h35m,2,"SFO, NRT",8:45 am – 7:55 pm,United Airlines,SIN‐SAN,26h10m,2,"SFO, LAX",1176,20220404-2012,cheap
6:05 am – 12:35 am +2,United Airlines,SAN‐SIN,27h30m,2,"SFO, NRT",8:45 am – 7:55 pm,United Airlines,SIN‐SAN,26h10m,2,"SFO, LAX",1176,20220404-2012,cheap
6:05 am – 12:35 am +2,United Airlines,SAN‐SIN,27h30m,2,"SFO, NRT",8:45 am – 7:55 pm,United Airlines,SIN‐SAN,26h10m,2,"SFO, LAX",1176,20220404-2012,cheap
6:15 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h20m,2,"LAX, NRT",8:45 am – 8:24 pm,United Airlines,SIN‐SAN,26h39m,1,SFO,1176,20220404-2012,cheap
8:00 am – 12:35 am +2,United Airlines,SAN‐SIN,25h35m,2,"SFO, NRT",8:45 am – 11:33 pm,United Airlines,SIN‐SAN,29h48m,2,"SFO, LAX",1176,20220404-2012,cheap
8:00 am – 12:35 am +2,United Airlines,SAN‐SIN,25h35m,2,"SFO, NRT",8:45 am – 11:33 pm,United Airlines,SIN‐SAN,29h48m,2,"SFO, LAX",1176,20220404-2012,cheap
6:15 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h20m,2,"LAX, NRT",8:45 am – 7:55 pm,United Airlines,SIN‐SAN,26h10m,2,"SFO, LAX",1181,20220404-2012,cheap
8:00 am – 12:35 am +2,Air Canada,SAN‐SIN,25h35m,2,"YVR, NRT",6:10 am – 6:37 pm,Air Canada,SIN‐SAN,27h27m,2,"NRT, YVR",1220,20220404-2009,best
