Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
1:30 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,19h50m,1,NRT,9:50 pm – 11:30 am +1,Japan Airlines,SIN‐SAN,28h40m,1,HND-NRT,977,20220404-2317,cheap
1:30 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,19h50m,1,NRT,9:50 pm – 11:30 am +1,"Qantas Airways, Japan Airlines",SIN‐SAN,28h40m,1,HND-NRT,1035,20220404-2317,cheap
1:30 pm – 12:20 am +2,"Japan Airlines, Qantas Airways",SAN‐SIN,19h50m,1,NRT,9:50 pm – 11:30 am +1,Japan Airlines,SIN‐SAN,28h40m,1,HND-NRT,1045,20220404-2317,cheap
7:05 am – 11:40 pm +1,Korean Air,SAN‐SIN,25h35m,2,"SEA, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1200,20220404-2317,cheap
7:05 am – 11:40 pm +1,Korean Air,SAN‐SIN,25h35m,2,"SEA, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1200,20220404-2317,cheap
6:15 am – 11:40 pm +1,Korean Air,SAN‐SIN,26h25m,2,"LAX, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1200,20220404-2317,cheap
1:30 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,19h50m,1,NRT,9:50 pm – 4:43 pm +1,Japan Airlines,SIN‐SAN,33h53m,2,"HND-NRT, SEA",1210,20220404-2317,cheap
6:25 am – 11:40 pm +1,"Alaska Airlines, Korean Air",SAN‐SIN,26h15m,2,"SFO, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1237,20220404-2317,cheap
7:05 am – 11:40 pm +1,Korean Air,SAN‐SIN,25h35m,2,"SEA, ICN",1:10 am – 6:11 pm,"Korean Air, Delta",SIN‐SAN,32h01m,2,"ICN, SEA",1238,20220404-2317,cheap
7:05 am – 11:40 pm +1,Korean Air,SAN‐SIN,25h35m,2,"SEA, ICN",1:10 am – 6:11 pm,"Korean Air, Delta",SIN‐SAN,32h01m,2,"ICN, SEA",1238,20220404-2317,cheap
7:05 am – 11:40 pm +1,"Delta, Korean Air",SAN‐SIN,25h35m,2,"SEA, ICN",1:10 am – 6:11 pm,"Korean Air, Delta",SIN‐SAN,32h01m,2,"ICN, SEA",1355,20220404-2317,cheap
7:05 am – 11:40 pm +1,"Delta, Korean Air",SAN‐SIN,25h35m,2,"SEA, ICN",1:10 am – 6:11 pm,"Korean Air, Delta",SIN‐SAN,32h01m,2,"ICN, SEA",1355,20220404-2317,cheap
7:05 am – 11:40 pm +1,"Delta, Korean Air",SAN‐SIN,25h35m,2,"SEA, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1356,20220404-2317,cheap
7:05 am – 11:40 pm +1,"Delta, Korean Air",SAN‐SIN,25h35m,2,"SEA, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1356,20220404-2317,cheap
1:30 pm – 10:15 am +2,Multiple Airlines,SAN‐SIN,29h45m,3,"NRT, HAN, ...",5:00 pm – 11:30 am +1,"Scoot, Japan Airlines",SIN‐SAN,33h30m,2,"KUL, NRT",1409,20220404-2317,cheap
1:30 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,19h50m,1,NRT,9:50 pm – 11:30 am +1,Japan Airlines,SIN‐SAN,28h40m,1,HND-NRT,1011,20220404-2315,best
1:30 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,19h50m,1,NRT,9:50 pm – 11:30 am +1,Japan Airlines,SIN‐SAN,28h40m,1,HND-NRT,977,20220404-2315,best
1:30 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,19h50m,1,NRT,9:50 pm – 11:30 am +1,"Qantas Airways, Japan Airlines",SIN‐SAN,28h40m,1,HND-NRT,1035,20220404-2315,best
1:30 pm – 12:20 am +2,"Japan Airlines, Qantas Airways",SAN‐SIN,19h50m,1,NRT,9:50 pm – 11:30 am +1,Japan Airlines,SIN‐SAN,28h40m,1,HND-NRT,1045,20220404-2315,best
1:30 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,19h50m,1,NRT,9:50 pm – 4:43 pm +1,Japan Airlines,SIN‐SAN,33h53m,2,"HND-NRT, SEA",1210,20220404-2315,best
1:30 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,19h50m,1,NRT,3:10 pm – 7:34 am +1,"EVA Air, Alaska Airlines",SIN‐SAN,31h24m,2,"TPE, SFO",1447,20220404-2315,best
8:00 am – 12:35 am +2,United Airlines,SAN‐SIN,25h35m,2,"SFO, NRT",8:45 am – 12:23 pm,United Airlines,SIN‐SAN,18h38m,1,SFO,1716,20220404-2315,best
7:05 am – 11:40 pm +1,Korean Air,SAN‐SIN,25h35m,2,"SEA, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1200,20220404-2315,best
7:05 am – 11:40 pm +1,Korean Air,SAN‐SIN,25h35m,2,"SEA, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1200,20220404-2315,best
1:30 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,19h50m,1,NRT,1:10 pm – 7:34 am +1,"EVA Air, Alaska Airlines",SIN‐SAN,33h24m,2,"TPE, SFO",1447,20220404-2315,best
1:30 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,19h50m,1,NRT,1:10 pm – 7:34 am +1,"EVA Air, Alaska Airlines",SIN‐SAN,33h24m,2,"TPE, SFO",1453,20220404-2315,best
1:30 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,19h50m,1,NRT,1:10 am – 2:35 pm,Korean Air,SIN‐SAN,28h25m,2,"ICN, LAX",1583,20220404-2315,best
6:29 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h06m,2,"LAX, NRT",8:45 am – 12:23 pm,United Airlines,SIN‐SAN,18h38m,1,SFO,1721,20220404-2315,best
6:15 am – 11:40 pm +1,Korean Air,SAN‐SIN,26h25m,2,"LAX, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1200,20220404-2315,best
10:20 am – 12:20 am +2,Japan Airlines,SAN‐SIN,23h00m,2,"SFO, NRT",9:50 pm – 11:30 am +1,Japan Airlines,SIN‐SAN,28h40m,1,HND-NRT,1476,20220404-2315,best
7:05 am – 11:40 pm +1,Korean Air,SAN‐SIN,25h35m,2,"SEA, ICN",1:10 am – 6:11 pm,"Korean Air, Delta",SIN‐SAN,32h01m,2,"ICN, SEA",1238,20220404-2315,best
8:12 pm – 6:15 am +2,United Airlines,SAN‐SIN,19h03m,1,SFO,8:45 am – 12:23 pm,United Airlines,SIN‐SAN,18h38m,1,SFO,2258,20220404-2320,fast
6:53 pm – 6:15 am +2,United Airlines,SAN‐SIN,20h22m,1,SFO,8:45 am – 12:23 pm,United Airlines,SIN‐SAN,18h38m,1,SFO,2258,20220404-2320,fast
8:12 pm – 6:15 am +2,United Airlines,SAN‐SIN,19h03m,1,SFO,8:45 am – 2:35 pm,United Airlines,SIN‐SAN,20h50m,1,SFO,2258,20220404-2320,fast
1:30 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,19h50m,1,NRT,6:40 pm – 11:49 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,20h09m,1,SFO,1760,20220404-2320,fast
5:15 pm – 5:45 am +2,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h30m,1,SFO,9:25 am – 1:32 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,19h07m,1,SFO,5506,20220404-2320,fast
6:25 am – 7:10 pm +1,Singapore Airlines,SAN‐SIN,21h45m,1,SFO,9:25 am – 1:32 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,19h07m,1,SFO,5712,20220404-2320,fast
6:53 pm – 6:15 am +2,United Airlines,SAN‐SIN,20h22m,1,SFO,8:45 am – 2:35 pm,United Airlines,SIN‐SAN,20h50m,1,SFO,2258,20220404-2320,fast
5:15 pm – 5:45 am +2,Singapore Airlines,SAN‐SIN,21h30m,1,SFO,6:40 pm – 11:49 pm,Singapore Airlines,SIN‐SAN,20h09m,1,SFO,2164,20220404-2320,fast
5:15 pm – 5:45 am +2,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h30m,1,SFO,6:40 pm – 11:49 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,20h09m,1,SFO,2164,20220404-2320,fast
5:15 pm – 5:45 am +2,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h30m,1,SFO,6:40 pm – 11:49 pm,Singapore Airlines,SIN‐SAN,20h09m,1,SFO,2232,20220404-2320,fast
6:25 am – 7:10 pm +1,Singapore Airlines,SAN‐SIN,21h45m,1,SFO,6:40 pm – 11:49 pm,Singapore Airlines,SIN‐SAN,20h09m,1,SFO,2258,20220404-2320,fast
3:59 pm – 6:15 am +2,United Airlines,SAN‐SIN,23h16m,1,SFO,8:45 am – 12:23 pm,United Airlines,SIN‐SAN,18h38m,1,SFO,2258,20220404-2320,fast
6:25 am – 7:10 pm +1,Singapore Airlines,SAN‐SIN,21h45m,1,SFO,6:40 pm – 11:49 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,20h09m,1,SFO,2302,20220404-2320,fast
3:10 pm – 5:45 am +2,Singapore Airlines,SAN‐SIN,23h35m,1,SFO,9:25 am – 1:32 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,19h07m,1,SFO,5506,20220404-2320,fast
10:20 am – 12:20 am +2,Japan Airlines,SAN‐SIN,23h00m,2,"SFO, NRT",6:40 pm – 11:49 pm,Singapore Airlines,SIN‐SAN,20h09m,1,SFO,2147,20220404-2320,fast
