Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 12:08 pm +1,Air Canada,ICN‐SAN,34h23m,1,YVR,1196,20220405-1656,cheap
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,6:40 pm – 10:36 am +1,Air Canada,ICN‐SAN,31h56m,1,YYZ,1258,20220405-1656,cheap
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 6:33 pm,Air Canada,ICN‐SAN,16h48m,1,YVR,1311,20220405-1656,cheap
7:45 pm – 11:10 am +2,"Alaska Airlines, China Airlines",SAN‐ICN,23h25m,2,"SFO, TPE",8:45 pm – 11:58 pm,"China Airlines, Alaska Airlines",ICN‐SAN,19h13m,2,"TPE, SFO",1436,20220405-1656,cheap
6:05 pm – 11:10 am +2,"Alaska Airlines, China Airlines",SAN‐ICN,25h05m,2,"SFO, TPE",8:45 pm – 11:58 pm,"China Airlines, Alaska Airlines",ICN‐SAN,19h13m,2,"TPE, SFO",1436,20220405-1656,cheap
4:15 pm – 11:10 am +2,"Alaska Airlines, China Airlines",SAN‐ICN,26h55m,2,"SFO, TPE",8:45 pm – 11:58 pm,"China Airlines, Alaska Airlines",ICN‐SAN,19h13m,2,"TPE, SFO",1436,20220405-1656,cheap
2:35 pm – 11:10 am +2,"Alaska Airlines, China Airlines",SAN‐ICN,28h35m,2,"SFO, TPE",8:45 pm – 11:58 pm,"China Airlines, Alaska Airlines",ICN‐SAN,19h13m,2,"TPE, SFO",1436,20220405-1656,cheap
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 8:39 am +1,Air Canada,ICN‐SAN,30h54m,2,"YVR, SFO",1450,20220405-1656,cheap
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 8:39 am +1,Air Canada,ICN‐SAN,30h54m,2,"YVR, SFO",1450,20220405-1656,cheap
6:30 pm – 5:45 pm +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,31h15m,1,SEA,8:40 pm – 6:57 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,14h17m,1,SFO,1501,20220405-1656,cheap
6:30 pm – 5:45 pm +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,31h15m,1,SEA,6:20 pm – 6:59 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,16h39m,1,SEA,1501,20220405-1656,cheap
6:30 pm – 5:45 pm +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,31h15m,1,SEA,8:40 pm – 9:45 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,17h05m,1,SFO,1501,20220405-1656,cheap
8:45 pm – 5:45 pm +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,29h00m,1,SEA,8:40 pm – 6:57 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,14h17m,1,SFO,1511,20220405-1656,cheap
8:45 pm – 5:45 pm +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,29h00m,1,SEA,6:20 pm – 6:59 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,16h39m,1,SEA,1511,20220405-1656,cheap
8:45 pm – 5:45 pm +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,29h00m,1,SEA,8:40 pm – 9:45 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,17h05m,1,SFO,1511,20220405-1656,cheap
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 12:08 pm +1,Air Canada,ICN‐SAN,34h23m,1,YVR,1340,20220405-1653,best
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 6:33 pm,Air Canada,ICN‐SAN,16h48m,1,YVR,1311,20220405-1653,best
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 12:08 pm +1,Air Canada,ICN‐SAN,34h23m,1,YVR,1196,20220405-1653,best
8:12 pm – 4:30 am +2,Asiana Airlines,SAN‐ICN,16h18m,1,SFO,8:40 pm – 7:55 pm,Asiana Airlines,ICN‐SAN,15h15m,1,LAX,1818,20220405-1653,best
8:00 am – 5:45 pm +1,"Alaska Airlines, Asiana Airlines",SAN‐ICN,17h45m,1,SEA,6:20 pm – 6:59 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,16h39m,1,SEA,1565,20220405-1653,best
6:53 pm – 4:30 am +2,Asiana Airlines,SAN‐ICN,17h37m,1,SFO,8:40 pm – 7:55 pm,Asiana Airlines,ICN‐SAN,15h15m,1,LAX,1761,20220405-1653,best
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 7:55 pm,"Air Canada, United Airlines",ICN‐SAN,18h10m,2,"YVR, LAX",1633,20220405-1653,best
6:15 am – 5:45 pm +1,"Alaska Airlines, Asiana Airlines",SAN‐ICN,19h30m,1,SEA,6:20 pm – 6:59 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,16h39m,1,SEA,1565,20220405-1653,best
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 8:24 pm,"Air Canada, United Airlines",ICN‐SAN,18h39m,2,"YVR, SFO",1654,20220405-1653,best
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 8:24 pm,"Air Canada, United Airlines",ICN‐SAN,18h39m,2,"YVR, SFO",1654,20220405-1653,best
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 10:18 pm,"Air Canada, Alaska Airlines",ICN‐SAN,20h33m,2,"YVR, SEA",1536,20220405-1653,best
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 8:38 pm,"Air Canada, United Airlines",ICN‐SAN,18h53m,2,"YVR, DEN",1710,20220405-1653,best
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 11:38 pm,"Air Canada, Alaska Airlines",ICN‐SAN,21h53m,2,"YVR, SEA",1512,20220405-1653,best
6:53 pm – 4:30 am +2,Asiana Airlines,SAN‐ICN,17h37m,1,SFO,8:40 pm – 11:33 pm,Asiana Airlines,ICN‐SAN,18h53m,1,LAX,1761,20220405-1653,best
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 11:30 pm,Air Canada,ICN‐SAN,21h45m,2,"YVR, SFO",1563,20220405-1653,best
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 11:30 pm,Air Canada,ICN‐SAN,21h45m,2,"YVR, SFO",1563,20220405-1653,best
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 11:30 pm,Air Canada,ICN‐SAN,21h45m,2,"YVR, SFO",1563,20220405-1653,best
6:05 am – 2:45 pm +1,United Airlines,SAN‐ICN,16h40m,1,SFO,4:40 pm – 2:35 pm,United Airlines,ICN‐SAN,13h55m,1,SFO,2322,20220405-1658,fast
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,7:20 pm – 6:11 pm,Korean Air,ICN‐SAN,14h51m,1,SEA,1839,20220405-1658,fast
8:12 pm – 4:30 am +2,Asiana Airlines,SAN‐ICN,16h18m,1,SFO,7:20 pm – 6:11 pm,"Korean Air, Delta",ICN‐SAN,14h51m,1,SEA,4317,20220405-1658,fast
