Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 6:33 pm,Air Canada,ICN‐SAN,16h48m,1,YVR,1196,20220405-1649,cheap
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 12:08 pm +1,Air Canada,ICN‐SAN,34h23m,1,YVR,1196,20220405-1649,cheap
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,6:40 pm – 10:36 am +1,Air Canada,ICN‐SAN,31h56m,1,YYZ,1201,20220405-1649,cheap
7:45 pm – 11:10 am +2,"Alaska Airlines, China Airlines",SAN‐ICN,23h25m,2,"SFO, TPE",8:45 pm – 11:58 pm,"China Airlines, Alaska Airlines",ICN‐SAN,19h13m,2,"TPE, SFO",1471,20220405-1649,cheap
6:05 pm – 11:10 am +2,"Alaska Airlines, China Airlines",SAN‐ICN,25h05m,2,"SFO, TPE",8:45 pm – 11:58 pm,"China Airlines, Alaska Airlines",ICN‐SAN,19h13m,2,"TPE, SFO",1471,20220405-1649,cheap
4:15 pm – 11:10 am +2,"Alaska Airlines, China Airlines",SAN‐ICN,26h55m,2,"SFO, TPE",8:45 pm – 11:58 pm,"China Airlines, Alaska Airlines",ICN‐SAN,19h13m,2,"TPE, SFO",1471,20220405-1649,cheap
2:35 pm – 11:10 am +2,"Alaska Airlines, China Airlines",SAN‐ICN,28h35m,2,"SFO, TPE",8:45 pm – 11:58 pm,"China Airlines, Alaska Airlines",ICN‐SAN,19h13m,2,"TPE, SFO",1471,20220405-1649,cheap
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,10:00 am – 6:33 pm,"Asiana Airlines, Air Canada",ICN‐SAN,24h33m,2,"NRT, YVR",1519,20220405-1649,cheap
6:25 am – 4:00 pm +1,"Alaska Airlines, Air Canada",SAN‐ICN,17h35m,2,"PDX, YVR",5:45 pm – 6:33 pm,Air Canada,ICN‐SAN,16h48m,1,YVR,1520,20220405-1649,cheap
8:45 pm – 4:00 pm +2,"Alaska Airlines, Air Canada",SAN‐ICN,27h15m,2,"SEA, YVR",5:45 pm – 6:33 pm,Air Canada,ICN‐SAN,16h48m,1,YVR,1535,20220405-1649,cheap
8:55 pm – 4:00 pm +2,"Alaska Airlines, Air Canada",SAN‐ICN,27h05m,2,"PDX, YVR",5:45 pm – 6:33 pm,Air Canada,ICN‐SAN,16h48m,1,YVR,1538,20220405-1649,cheap
8:55 pm – 4:00 pm +2,"Alaska Airlines, Air Canada",SAN‐ICN,27h05m,2,"PDX, YVR",5:45 pm – 6:33 pm,Air Canada,ICN‐SAN,16h48m,1,YVR,1538,20220405-1649,cheap
8:00 am – 4:00 pm +1,Air Canada,SAN‐ICN,16h00m,1,YVR,5:45 pm – 11:38 pm,"Air Canada, Alaska Airlines",ICN‐SAN,21h53m,2,"YVR, SEA",1555,20220405-1649,cheap
10:25 pm – 4:00 pm +2,"Alaska Airlines, Air Canada",SAN‐ICN,25h35m,2,"SFO, YVR",5:45 pm – 6:33 pm,Air Canada,ICN‐SAN,16h48m,1,YVR,1564,20220405-1649,cheap
