Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
12:55 pm – 4:00 pm +2,Air Canada,SAN‐ICN,35h05m,1,YVR,5:45 pm – 12:12 pm +1,Air Canada,ICN‐SAN,34h27m,1,YVR,1376,20220405-1945,cheap
8:00 am – 2:45 pm +1,United Airlines,SAN‐ICN,14h45m,1,SFO,7:45 pm – 10:17 am +1,"EVA Air, United Airlines",ICN‐SAN,30h32m,2,"TPE, SFO",1426,20220405-1945,cheap
6:29 am – 2:45 pm +1,United Airlines,SAN‐ICN,16h16m,2,"LAX, SFO",7:45 pm – 10:17 am +1,"EVA Air, United Airlines",ICN‐SAN,30h32m,2,"TPE, SFO",1426,20220405-1945,cheap
9:56 am – 11:00 am +2,"United Airlines, EVA Air",SAN‐ICN,33h04m,2,"SFO, TPE",4:40 pm – 2:35 pm,United Airlines,ICN‐SAN,13h55m,1,SFO,1426,20220405-1945,cheap
6:15 am – 2:45 pm +1,United Airlines,SAN‐ICN,16h30m,1,SFO,7:45 pm – 10:17 am +1,"EVA Air, United Airlines",ICN‐SAN,30h32m,2,"TPE, SFO",1426,20220405-1945,cheap
8:00 am – 2:45 pm +1,United Airlines,SAN‐ICN,14h45m,1,SFO,7:45 pm – 12:23 pm +1,"EVA Air, United Airlines",ICN‐SAN,32h38m,2,"TPE, SFO",1426,20220405-1945,cheap
7:40 pm – 4:30 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,16h50m,1,SFO,8:40 pm – 11:49 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,19h09m,1,SFO,1491,20220405-1945,cheap
5:15 pm – 4:30 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,19h15m,1,SFO,8:40 pm – 11:49 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,19h09m,1,SFO,1491,20220405-1945,cheap
10:20 am – 4:30 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,26h10m,1,SFO,8:40 pm – 11:49 pm,"Asiana Airlines, Alaska Airlines",ICN‐SAN,19h09m,1,SFO,1491,20220405-1945,cheap
7:40 pm – 4:30 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,16h50m,1,SFO,8:40 pm – 7:34 am +1,"Asiana Airlines, Alaska Airlines",ICN‐SAN,26h54m,1,SFO,1498,20220405-1945,cheap
7:40 pm – 4:30 am +2,"Alaska Airlines, Asiana Airlines",SAN‐ICN,16h50m,1,SFO,8:40 pm – 9:39 am +1,"Asiana Airlines, Alaska Airlines",ICN‐SAN,28h59m,1,SFO,1498,20220405-1945,cheap
