Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,9:25 am – 4:13 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,21h48m,1,SFO,1137,20220404-1528,cheap
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,9:25 am – 11:05 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,28h40m,1,SFO,1137,20220404-1528,cheap
6:25 am – 7:10 pm +1,Singapore Airlines,SAN‐SIN,21h45m,1,SFO,9:25 am – 10:10 am +1,"Singapore Airlines, Alaska Airlines",SIN‐SAN,39h45m,1,SFO,1168,20220404-1528,cheap
1:15 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,20h05m,1,NRT,9:50 pm – 11:15 am +1,Japan Airlines,SIN‐SAN,28h25m,1,HND-NRT,1174,20220404-1528,cheap
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,9:25 am – 10:04 am +1,"Singapore Airlines, Alaska Airlines",SIN‐SAN,39h39m,1,SFO-SJC,1199,20220404-1528,cheap
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,9:25 am – 2:28 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,20h03m,1,SFO,1247,20220404-1528,cheap
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,6:40 pm – 10:10 am +1,"Singapore Airlines, Alaska Airlines",SIN‐SAN,30h30m,2,"LAX, SFO",1256,20220404-1528,cheap
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,6:40 pm – 10:04 am +1,"Singapore Airlines, Alaska Airlines",SIN‐SAN,30h24m,2,"LAX, SJC",1283,20220404-1528,cheap
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,6:40 pm – 3:41 pm +1,"Singapore Airlines, Alaska Airlines",SIN‐SAN,36h01m,2,"LAX, SJC",1287,20220404-1528,cheap
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,8:45 pm – 5:58 pm +1,"Singapore Airlines, Alaska Airlines",SIN‐SAN,36h13m,2,"LAX, SFO",1290,20220404-1528,cheap
6:25 am – 11:40 pm +1,"Alaska Airlines, Korean Air",SAN‐SIN,26h15m,2,"SFO, ICN",1:10 am – 1:39 pm,Korean Air,SIN‐SAN,27h29m,2,"ICN, LAX",1291,20220404-1528,cheap
6:25 am – 11:40 pm +1,"Alaska Airlines, Korean Air",SAN‐SIN,26h15m,2,"SFO, ICN",1:10 am – 10:07 pm,Korean Air,SIN‐SAN,35h57m,2,"ICN, LAX",1291,20220404-1528,cheap
6:25 am – 11:40 pm +1,"Alaska Airlines, Korean Air",SAN‐SIN,26h15m,2,"SFO, ICN",1:10 am – 10:07 pm,Korean Air,SIN‐SAN,35h57m,2,"ICN, LAX",1291,20220404-1528,cheap
6:15 am – 11:40 pm +1,Delta,SAN‐SIN,26h25m,2,"LAX, ICN",1:10 am – 1:39 pm,Delta,SIN‐SAN,27h29m,2,"ICN, LAX",1292,20220404-1528,cheap
6:15 am – 11:40 pm +1,Delta,SAN‐SIN,26h25m,2,"LAX, ICN",1:10 am – 10:07 pm,Delta,SIN‐SAN,35h57m,2,"ICN, LAX",1292,20220404-1528,cheap
1:15 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,20h05m,1,NRT,9:50 pm – 11:15 am +1,Japan Airlines,SIN‐SAN,28h25m,1,HND-NRT,1227,20220404-1525,best
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,9:25 am – 2:28 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,20h03m,1,SFO,1247,20220404-1525,best
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,9:25 am – 4:13 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,21h48m,1,SFO,1137,20220404-1525,best
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,9:25 am – 1:28 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,19h03m,1,SFO,1309,20220404-1525,best
1:15 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,20h05m,1,NRT,9:50 pm – 11:15 am +1,Japan Airlines,SIN‐SAN,28h25m,1,HND-NRT,1174,20220404-1525,best
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,9:25 am – 11:05 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,28h40m,1,SFO,1137,20220404-1525,best
6:25 am – 7:10 pm +1,Singapore Airlines,SAN‐SIN,21h45m,1,SFO,6:40 pm – 11:05 pm,Singapore Airlines,SIN‐SAN,19h25m,1,SFO,1662,20220404-1525,best
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,6:40 pm – 10:10 am +1,"Singapore Airlines, Alaska Airlines",SIN‐SAN,30h30m,2,"LAX, SFO",1256,20220404-1525,best
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,6:40 pm – 10:04 am +1,"Singapore Airlines, Alaska Airlines",SIN‐SAN,30h24m,2,"LAX, SJC",1283,20220404-1525,best
6:25 am – 7:10 pm +1,Singapore Airlines,SAN‐SIN,21h45m,1,SFO,9:25 am – 10:35 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,28h10m,3,"NRT, LAX, ...",1336,20220404-1525,best
6:25 am – 7:10 pm +1,Singapore Airlines,SAN‐SIN,21h45m,1,SFO,9:50 pm – 11:15 am +1,Japan Airlines,SIN‐SAN,28h25m,1,HND-NRT,1414,20220404-1525,best
6:25 am – 7:10 pm +1,Singapore Airlines,SAN‐SIN,21h45m,1,SFO,9:25 am – 11:05 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,28h40m,3,"NRT, LAX, ...",1354,20220404-1525,best
1:15 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,20h05m,1,NRT,1:10 am – 1:39 pm,Korean Air,SIN‐SAN,27h29m,2,"ICN, LAX",1551,20220404-1525,best
6:25 am – 7:10 pm +1,"Alaska Airlines, Singapore Airlines",SAN‐SIN,21h45m,1,SFO,6:40 pm – 11:53 am +1,"Singapore Airlines, Alaska Airlines",SIN‐SAN,32h13m,2,"LAX, SJC",1306,20220404-1525,best
10:00 pm – 7:10 pm +2,Singapore Airlines,SAN‐SIN,30h10m,1,SFO,9:25 am – 2:28 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,20h03m,1,SFO,1482,20220404-1525,best
10:00 pm – 7:10 pm +2,Singapore Airlines,SAN‐SIN,30h10m,1,SFO,9:25 am – 4:13 pm,"Singapore Airlines, Alaska Airlines",SIN‐SAN,21h48m,1,SFO,1403,20220404-1525,best
8:01 pm – 6:45 am +2,United Airlines,SAN‐SIN,19h44m,1,SFO,9:00 am – 12:35 pm,United Airlines,SIN‐SAN,18h35m,1,SFO,2223,20220404-1530,fast
1:15 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,20h05m,1,NRT,6:40 pm – 11:05 pm,Singapore Airlines,SIN‐SAN,19h25m,1,SFO,2985,20220404-1530,fast
