Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
12:45 pm – 4:15 pm +2,Air Canada,SAN‐ICN,35h30m,1,YVR,5:45 pm – 6:33 pm,Air Canada,ICN‐SAN,16h48m,1,YVR,1283,20220405-1554,cheap
7:30 am – 4:15 pm +1,Air Canada,SAN‐ICN,16h45m,1,YVR,5:45 pm – 6:33 pm,Air Canada,ICN‐SAN,16h48m,1,YVR,1376,20220405-1554,cheap
7:30 am – 4:15 pm +1,Air Canada,SAN‐ICN,16h45m,1,YVR,6:40 pm – 10:36 am +1,Air Canada,ICN‐SAN,31h56m,1,YYZ,1438,20220405-1554,cheap
7:30 am – 4:15 pm +1,Air Canada,SAN‐ICN,16h45m,1,YVR,4:40 pm – 6:09 pm,United Airlines,ICN‐SAN,17h29m,1,SFO,1734,20220405-1554,cheap
7:30 am – 4:15 pm +1,Air Canada,SAN‐ICN,16h45m,1,YVR,4:40 pm – 7:55 pm,United Airlines,ICN‐SAN,19h15m,2,"SFO, LAX",1739,20220405-1554,cheap
7:30 am – 4:15 pm +1,Air Canada,SAN‐ICN,16h45m,1,YVR,4:40 pm – 6:11 pm,Korean Air,ICN‐SAN,17h31m,1,SEA,1751,20220405-1554,cheap
7:30 am – 4:15 pm +1,Air Canada,SAN‐ICN,16h45m,1,YVR,10:00 am – 6:33 pm,"Asiana Airlines, Air Canada",ICN‐SAN,24h33m,2,"NRT, YVR",1759,20220405-1554,cheap
6:15 am – 5:50 pm +1,Korean Air,SAN‐ICN,19h35m,1,LAX,4:40 pm – 6:11 pm,Korean Air,ICN‐SAN,17h31m,1,SEA,1763,20220405-1554,cheap
8:35 pm – 4:15 pm +2,"United Airlines, Air Canada",SAN‐ICN,27h40m,2,"LAX, YVR",5:45 pm – 6:33 pm,Air Canada,ICN‐SAN,16h48m,1,YVR,1763,20220405-1554,cheap
6:30 am – 4:15 pm +1,"United Airlines, Air Canada",SAN‐ICN,17h45m,2,"LAX, YVR",5:45 pm – 6:33 pm,Air Canada,ICN‐SAN,16h48m,1,YVR,1791,20220405-1554,cheap
