Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
8:00 am – 6:15 am +2,United Airlines,SAN‐SIN,31h15m,1,SFO,8:45 am – 12:23 pm,United Airlines,SIN‐SAN,18h38m,1,SFO,1136,20220404-2050,cheap
6:05 am – 6:15 am +2,United Airlines,SAN‐SIN,33h10m,1,SFO,8:45 am – 12:23 pm,United Airlines,SIN‐SAN,18h38m,1,SFO,1136,20220404-2050,cheap
8:00 am – 6:15 am +2,United Airlines,SAN‐SIN,31h15m,1,SFO,8:45 am – 2:35 pm,United Airlines,SIN‐SAN,20h50m,1,SFO,1136,20220404-2050,cheap
6:05 am – 6:15 am +2,United Airlines,SAN‐SIN,33h10m,1,SFO,8:45 am – 2:35 pm,United Airlines,SIN‐SAN,20h50m,1,SFO,1136,20220404-2050,cheap
8:00 am – 6:15 am +2,United Airlines,SAN‐SIN,31h15m,1,SFO,8:45 am – 6:09 pm,United Airlines,SIN‐SAN,24h24m,1,SFO,1136,20220404-2050,cheap
6:05 am – 6:15 am +2,United Airlines,SAN‐SIN,33h10m,1,SFO,8:45 am – 6:09 pm,United Airlines,SIN‐SAN,24h24m,1,SFO,1136,20220404-2050,cheap
8:00 am – 6:15 am +2,United Airlines,SAN‐SIN,31h15m,1,SFO,8:45 am – 8:24 pm,United Airlines,SIN‐SAN,26h39m,1,SFO,1136,20220404-2050,cheap
6:05 am – 6:15 am +2,United Airlines,SAN‐SIN,33h10m,1,SFO,8:45 am – 8:24 pm,United Airlines,SIN‐SAN,26h39m,1,SFO,1136,20220404-2050,cheap
8:00 am – 6:15 am +2,United Airlines,SAN‐SIN,31h15m,1,SFO,8:45 am – 7:39 pm,United Airlines,SIN‐SAN,25h54m,2,"SFO, LAX",1141,20220404-2050,cheap
8:00 am – 6:15 am +2,United Airlines,SAN‐SIN,31h15m,1,SFO,8:45 am – 7:39 pm,United Airlines,SIN‐SAN,25h54m,2,"SFO, LAX",1141,20220404-2050,cheap
6:05 am – 6:15 am +2,United Airlines,SAN‐SIN,33h10m,1,SFO,8:45 am – 7:39 pm,United Airlines,SIN‐SAN,25h54m,2,"SFO, LAX",1141,20220404-2050,cheap
6:05 am – 6:15 am +2,United Airlines,SAN‐SIN,33h10m,1,SFO,8:45 am – 7:39 pm,United Airlines,SIN‐SAN,25h54m,2,"SFO, LAX",1141,20220404-2050,cheap
8:00 am – 6:15 am +2,United Airlines,SAN‐SIN,31h15m,1,SFO,8:45 am – 11:28 pm,United Airlines,SIN‐SAN,29h43m,2,"SFO, LAX",1141,20220404-2050,cheap
8:00 am – 6:15 am +2,United Airlines,SAN‐SIN,31h15m,1,SFO,8:45 am – 11:28 pm,United Airlines,SIN‐SAN,29h43m,2,"SFO, LAX",1141,20220404-2050,cheap
6:05 am – 6:15 am +2,United Airlines,SAN‐SIN,33h10m,1,SFO,8:45 am – 11:28 pm,United Airlines,SIN‐SAN,29h43m,2,"SFO, LAX",1141,20220404-2050,cheap
6:15 am – 11:40 pm +1,Korean Air,SAN‐SIN,26h25m,2,"LAX, ICN",1:10 am – 6:11 pm,Korean Air,SIN‐SAN,32h01m,2,"ICN, SEA",1239,20220404-2047,best
6:53 pm – 6:15 am +2,United Airlines,SAN‐SIN,20h22m,1,SFO,8:45 am – 12:23 pm,United Airlines,SIN‐SAN,18h38m,1,SFO,1400,20220404-2047,best
8:00 am – 6:15 am +2,United Airlines,SAN‐SIN,31h15m,1,SFO,8:45 am – 12:23 pm,United Airlines,SIN‐SAN,18h38m,1,SFO,1136,20220404-2047,best
6:53 pm – 6:15 am +2,United Airlines,SAN‐SIN,20h22m,1,SFO,8:45 am – 2:35 pm,United Airlines,SIN‐SAN,20h50m,1,SFO,1400,20220404-2047,best
