Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
8:36 pm – 2:55 pm +2,United Airlines,SAN‐ICN,26h19m,2,"LAX, SFO",4:50 pm – 2:56 pm,United Airlines,ICN‐SAN,14h06m,1,SFO,1178,20220405-0908,cheap
8:36 pm – 2:55 pm +2,United Airlines,SAN‐ICN,26h19m,2,"LAX, SFO",4:50 pm – 8:43 pm,United Airlines,ICN‐SAN,19h53m,1,SFO,1178,20220405-0908,cheap
8:36 pm – 2:55 pm +2,United Airlines,SAN‐ICN,26h19m,2,"LAX, SFO",4:50 pm – 11:30 pm,United Airlines,ICN‐SAN,22h40m,1,SFO,1178,20220405-0908,cheap
7:29 pm – 2:55 pm +2,United Airlines,SAN‐ICN,27h26m,1,SFO,4:50 pm – 2:56 pm,United Airlines,ICN‐SAN,14h06m,1,SFO,1184,20220405-0908,cheap
4:05 pm – 2:55 pm +2,United Airlines,SAN‐ICN,30h50m,1,SFO,4:50 pm – 2:56 pm,United Airlines,ICN‐SAN,14h06m,1,SFO,1184,20220405-0908,cheap
7:29 pm – 2:55 pm +2,United Airlines,SAN‐ICN,27h26m,1,SFO,4:50 pm – 8:43 pm,United Airlines,ICN‐SAN,19h53m,1,SFO,1184,20220405-0908,cheap
1:10 pm – 2:55 pm +2,United Airlines,SAN‐ICN,33h45m,1,SFO,4:50 pm – 2:56 pm,United Airlines,ICN‐SAN,14h06m,1,SFO,1184,20220405-0908,cheap
8:36 pm – 2:55 pm +2,United Airlines,SAN‐ICN,26h19m,2,"LAX, SFO",4:50 pm – 10:06 am +1,United Airlines,ICN‐SAN,33h16m,1,SFO,1184,20220405-0908,cheap
4:10 pm – 2:55 pm +2,United Airlines,SAN‐ICN,30h45m,2,"DEN, SFO",4:50 pm – 2:56 pm,United Airlines,ICN‐SAN,14h06m,1,SFO,1193,20220405-0908,cheap
1:20 pm – 2:55 pm +2,United Airlines,SAN‐ICN,33h35m,2,"DEN, SFO",4:50 pm – 2:56 pm,United Airlines,ICN‐SAN,14h06m,1,SFO,1193,20220405-0908,cheap
1:20 pm – 2:55 pm +2,United Airlines,SAN‐ICN,33h35m,2,"DEN, SFO",4:50 pm – 2:56 pm,United Airlines,ICN‐SAN,14h06m,1,SFO,1193,20220405-0908,cheap
1:20 pm – 2:55 pm +2,United Airlines,SAN‐ICN,33h35m,2,"DEN, SFO",4:50 pm – 2:56 pm,United Airlines,ICN‐SAN,14h06m,1,SFO,1193,20220405-0908,cheap
7:13 am – 3:15 pm +1,Korean Air,SAN‐ICN,16h02m,1,SEA,1:55 pm – 12:40 pm,"Korean Air, Alaska Airlines",ICN‐SAN,14h45m,1,SEA,1194,20220405-0908,cheap
