Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
9:00 am – 5:10 pm +3,Air Canada,SAN‐ICN,64h10m,2,"YUL, YTZ-YYZ",6:40 pm – 10:27 am +1,Air Canada,ICN‐SAN,31h47m,1,YYZ,1404,20220405-1143,cheap
2:35 pm – 5:00 am +2,Korean Air,SAN‐ICN,22h25m,1,LAX,7:40 pm – 7:34 pm,Korean Air,ICN‐SAN,15h54m,1,LAX,1598,20220405-1143,cheap
6:15 am – 5:00 am +2,Korean Air,SAN‐ICN,30h45m,1,LAX,7:40 pm – 7:34 pm,Korean Air,ICN‐SAN,15h54m,1,LAX,1603,20220405-1143,cheap
7:30 am – 4:15 pm +1,Air Canada,SAN‐ICN,16h45m,1,YVR,6:40 pm – 10:27 am +1,Air Canada,ICN‐SAN,31h47m,1,YYZ,1622,20220405-1143,cheap
2:35 pm – 4:50 am +2,Delta,SAN‐ICN,22h15m,1,LAX,7:40 pm – 7:34 pm,Delta,ICN‐SAN,15h54m,1,LAX,1649,20220405-1143,cheap
6:15 am – 4:50 am +2,Delta,SAN‐ICN,30h35m,1,LAX,7:40 pm – 7:34 pm,Delta,ICN‐SAN,15h54m,1,LAX,1653,20220405-1143,cheap
4:10 am – 5:35 pm +1,"Amtrak, Asiana Airlines",SAN‐ICN,21h25m,1,LAX-LAX,10:00 am – 1:45 pm,Multiple Airlines,ICN‐SAN,19h45m,2,"NRT, LAX-LAX",1701,20220405-1143,cheap
6:15 am – 5:50 pm +1,Korean Air,SAN‐ICN,19h35m,1,LAX,7:40 pm – 7:34 pm,Korean Air,ICN‐SAN,15h54m,1,LAX,1746,20220405-1143,cheap
6:25 am – 4:15 pm +1,"Alaska Airlines, Air Canada",SAN‐ICN,17h50m,2,"PDX, YVR",6:40 pm – 10:27 am +1,Air Canada,ICN‐SAN,31h47m,1,YYZ,1765,20220405-1143,cheap
7:08 pm – 3:15 pm +2,Delta,SAN‐ICN,28h07m,1,SEA,7:40 pm – 7:34 pm,Delta,ICN‐SAN,15h54m,1,LAX,1787,20220405-1143,cheap
3:17 pm – 3:15 pm +2,Delta,SAN‐ICN,31h58m,1,SEA,7:40 pm – 7:34 pm,Delta,ICN‐SAN,15h54m,1,LAX,1787,20220405-1143,cheap
6:15 am – 5:50 pm +1,Delta,SAN‐ICN,19h35m,1,LAX,7:40 pm – 7:34 pm,Delta,ICN‐SAN,15h54m,1,LAX,1804,20220405-1143,cheap
10:25 pm – 5:20 pm +2,"Alaska Airlines, Korean Air",SAN‐ICN,26h55m,1,SFO,7:40 pm – 7:34 pm,Korean Air,ICN‐SAN,15h54m,1,LAX,1865,20220405-1143,cheap
7:45 pm – 5:20 pm +2,"Alaska Airlines, Korean Air",SAN‐ICN,29h35m,1,SFO,7:40 pm – 7:34 pm,Korean Air,ICN‐SAN,15h54m,1,LAX,1865,20220405-1143,cheap
6:05 pm – 5:20 pm +2,"Alaska Airlines, Korean Air",SAN‐ICN,31h15m,1,SFO,7:40 pm – 7:34 pm,Korean Air,ICN‐SAN,15h54m,1,LAX,1865,20220405-1143,cheap
2:35 pm – 5:00 am +2,Korean Air,SAN‐ICN,22h25m,1,LAX,7:40 pm – 7:34 pm,Korean Air,ICN‐SAN,15h54m,1,LAX,1940,20220405-1141,best
6:15 am – 2:55 pm +1,United Airlines,SAN‐ICN,16h40m,1,SFO,4:40 pm – 2:56 pm,United Airlines,ICN‐SAN,14h16m,1,SFO,2052,20220405-1141,best
9:00 am – 5:10 pm +3,Air Canada,SAN‐ICN,64h10m,2,"YUL, YTZ-YYZ",6:40 pm – 10:27 am +1,Air Canada,ICN‐SAN,31h47m,1,YYZ,1404,20220405-1141,best
6:15 am – 5:50 pm +1,Korean Air,SAN‐ICN,19h35m,1,LAX,7:40 pm – 7:34 pm,Korean Air,ICN‐SAN,15h54m,1,LAX,1746,20220405-1141,best
6:15 am – 5:50 pm +1,Delta,SAN‐ICN,19h35m,1,LAX,7:40 pm – 7:34 pm,Delta,ICN‐SAN,15h54m,1,LAX,1804,20220405-1141,best
2:35 pm – 5:00 am +2,Korean Air,SAN‐ICN,22h25m,1,LAX,7:40 pm – 7:34 pm,Korean Air,ICN‐SAN,15h54m,1,LAX,1598,20220405-1141,best
2:35 pm – 4:50 am +2,Delta,SAN‐ICN,22h15m,1,LAX,7:40 pm – 7:34 pm,Delta,ICN‐SAN,15h54m,1,LAX,1649,20220405-1141,best
6:15 am – 5:50 pm +1,Korean Air,SAN‐ICN,19h35m,1,LAX,2:30 pm – 1:39 pm,Korean Air,ICN‐SAN,15h09m,1,LAX,2027,20220405-1141,best
2:35 pm – 5:00 am +2,Korean Air,SAN‐ICN,22h25m,1,LAX,2:30 pm – 1:39 pm,Korean Air,ICN‐SAN,15h09m,1,LAX,1880,20220405-1141,best
