Out Time,Out Airline,Out Cities,Out Duration,Out Stops,Out Stop Cities,Return Time,Return Airline,Return Cities,Return Duration,Return Stops,Return Stop Cities,Price,timestamp,sort
7:13 am – 11:40 pm +1,Korean Air,SAN‐SIN,25h27m,2,"SEA, ICN",1:10 am – 2:12 pm,Korean Air,SIN‐SAN,28h02m,2,"ICN, SEA",993,20220404-1302,cheap
7:13 am – 11:40 pm +1,Korean Air,SAN‐SIN,25h27m,2,"SEA, ICN",1:10 am – 12:40 pm,"Korean Air, Alaska Airlines",SIN‐SAN,26h30m,2,"ICN, SEA",1109,20220404-1302,cheap
6:15 am – 11:40 pm +1,"Alaska Airlines, Korean Air",SAN‐SIN,26h25m,2,"SFO, ICN",1:10 am – 2:12 pm,Korean Air,SIN‐SAN,28h02m,2,"ICN, SEA",1142,20220404-1302,cheap
7:13 am – 11:40 pm +1,Korean Air,SAN‐SIN,25h27m,2,"SEA, ICN",1:10 am – 10:11 pm,Korean Air,SIN‐SAN,36h01m,2,"ICN, LAX",1143,20220404-1302,cheap
8:36 pm – 6:45 am +3,United Airlines,SAN‐SIN,43h09m,2,"LAX, SFO",6:10 am – 2:58 pm,United Airlines,SIN‐SAN,23h48m,2,"NRT, SFO",1173,20220404-1302,cheap
6:20 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h15m,2,"LAX, NRT",6:10 am – 2:58 pm,United Airlines,SIN‐SAN,23h48m,2,"NRT, SFO",1190,20220404-1302,cheap
6:20 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h15m,2,"LAX, NRT",6:10 am – 2:58 pm,United Airlines,SIN‐SAN,23h48m,2,"NRT, SFO",1190,20220404-1302,cheap
6:15 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h20m,2,"SFO, NRT",6:10 am – 2:58 pm,United Airlines,SIN‐SAN,23h48m,2,"NRT, SFO",1190,20220404-1302,cheap
6:20 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h15m,2,"LAX, NRT",6:10 am – 6:45 pm,United Airlines,SIN‐SAN,27h35m,2,"NRT, SFO",1190,20220404-1302,cheap
6:15 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h20m,2,"SFO, NRT",6:10 am – 6:45 pm,United Airlines,SIN‐SAN,27h35m,2,"NRT, SFO",1190,20220404-1302,cheap
6:20 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h15m,2,"LAX, NRT",6:10 am – 8:33 pm,United Airlines,SIN‐SAN,29h23m,2,"NRT, SFO",1190,20220404-1302,cheap
6:15 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h20m,2,"SFO, NRT",6:10 am – 8:33 pm,United Airlines,SIN‐SAN,29h23m,2,"NRT, SFO",1190,20220404-1302,cheap
6:15 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h20m,2,"SFO, NRT",6:10 am – 11:47 pm,United Airlines,SIN‐SAN,32h37m,2,"NRT, SFO",1190,20220404-1302,cheap
7:46 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,25h49m,2,"SFO, NRT",10:10 pm – 2:58 pm +1,"ANA, United Airlines",SIN‐SAN,31h48m,2,"HND-NRT, SFO",1191,20220404-1302,cheap
6:15 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h20m,2,"SFO, NRT",10:10 pm – 2:58 pm +1,"ANA, United Airlines",SIN‐SAN,31h48m,2,"HND-NRT, SFO",1191,20220404-1302,cheap
6:15 am – 11:40 pm +1,"Alaska Airlines, Korean Air",SAN‐SIN,26h25m,2,"SFO, ICN",1:10 am – 2:12 pm,Korean Air,SIN‐SAN,28h02m,2,"ICN, SEA",1181,20220404-1300,best
7:13 am – 11:40 pm +1,Korean Air,SAN‐SIN,25h27m,2,"SEA, ICN",1:10 am – 2:12 pm,Korean Air,SIN‐SAN,28h02m,2,"ICN, SEA",993,20220404-1300,best
6:20 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h15m,2,"LAX, NRT",6:10 am – 2:58 pm,United Airlines,SIN‐SAN,23h48m,2,"NRT, SFO",1190,20220404-1300,best
6:15 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h20m,2,"SFO, NRT",6:10 am – 2:58 pm,United Airlines,SIN‐SAN,23h48m,2,"NRT, SFO",1190,20220404-1300,best
7:13 am – 11:40 pm +1,Korean Air,SAN‐SIN,25h27m,2,"SEA, ICN",1:10 am – 12:40 pm,"Korean Air, Alaska Airlines",SIN‐SAN,26h30m,2,"ICN, SEA",1109,20220404-1300,best
6:20 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h15m,2,"LAX, NRT",6:10 am – 2:58 pm,United Airlines,SIN‐SAN,23h48m,2,"NRT, SFO",1190,20220404-1300,best
6:20 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h15m,2,"LAX, NRT",6:10 am – 6:45 pm,United Airlines,SIN‐SAN,27h35m,2,"NRT, SFO",1190,20220404-1300,best
6:15 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h20m,2,"SFO, NRT",6:10 am – 6:45 pm,United Airlines,SIN‐SAN,27h35m,2,"NRT, SFO",1190,20220404-1300,best
1:15 pm – 12:20 am +2,Japan Airlines,SAN‐SIN,20h05m,1,NRT,1:10 am – 2:12 pm,Korean Air,SIN‐SAN,28h02m,2,"ICN, SEA",1373,20220404-1300,best
6:20 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h15m,2,"LAX, NRT",9:00 am – 6:45 pm,United Airlines,SIN‐SAN,24h45m,1,SFO,1326,20220404-1300,best
6:15 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h20m,2,"SFO, NRT",9:00 am – 6:45 pm,United Airlines,SIN‐SAN,24h45m,1,SFO,1326,20220404-1300,best
6:20 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h15m,2,"LAX, NRT",6:10 am – 7:55 pm,"ANA, United Airlines",SIN‐SAN,28h45m,2,"NRT, LAX",1195,20220404-1300,best
6:15 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h20m,2,"SFO, NRT",6:10 am – 7:55 pm,"ANA, United Airlines",SIN‐SAN,28h45m,2,"NRT, LAX",1195,20220404-1300,best
6:15 am – 11:40 pm +1,"Alaska Airlines, Korean Air",SAN‐SIN,26h25m,2,"SFO, ICN",1:10 am – 2:12 pm,Korean Air,SIN‐SAN,28h02m,2,"ICN, SEA",1142,20220404-1300,best
6:20 am – 12:35 am +2,"United Airlines, ANA",SAN‐SIN,27h15m,2,"LAX, NRT",6:10 am – 8:33 pm,United Airlines,SIN‐SAN,29h23m,2,"NRT, SFO",1190,20220404-1300,best
